"","run_id","stress","stable","block_no","block","trial_no","b1","b2","b3","b4","resp","advantageous","switch"
"4443",215,"yes","yes","b12","1",43,-44,-10,-14,-2,4,1,0
"4444",215,"yes","yes","b12","1",44,-57,-23,-18,-1,3,0,1
"4445",215,"yes","yes","b12","1",45,-51,-12,-19,-11,2,0,1
"4446",215,"yes","yes","b12","1",46,-48,-10,-18,-5,1,0,1
"4447",215,"yes","yes","b12","1",47,-47,-2,-24,-19,3,0,1
"4448",215,"yes","yes","b12","1",48,-31,1,-22,-16,4,0,1
"4449",215,"yes","yes","b12","1",49,-43,-3,-21,-24,2,1,1
"4450",215,"yes","yes","b12","1",50,-47,-5,-25,-18,2,1,0
"4451",215,"no","yes","b13","2",1,-4,-38,31,11,3,1,NA
"4452",215,"no","yes","b13","2",2,-9,-33,33,2,3,1,0
"4453",215,"no","yes","b13","2",3,-13,-36,27,-3,3,1,0
"4454",215,"no","yes","b13","2",4,0,-34,40,-13,3,1,0
"4455",215,"no","yes","b13","2",5,-9,-31,40,-12,3,1,0
"4456",215,"no","yes","b13","2",6,-2,-35,32,-17,3,1,0
"4457",215,"no","yes","b13","2",7,-9,-31,34,-23,3,1,0
"4458",215,"no","yes","b13","2",8,-2,-34,33,-22,3,1,0
"4459",215,"no","yes","b13","2",9,-14,-40,29,-31,3,1,0
"4460",215,"no","yes","b13","2",10,-11,-35,25,-20,3,1,0
"4461",215,"no","yes","b13","2",11,-11,-39,24,-32,4,0,1
"4462",215,"no","yes","b13","2",12,-10,-31,17,-29,1,0,1
"4463",215,"no","yes","b13","2",13,-5,-29,10,-30,2,0,1
"4464",215,"no","yes","b13","2",14,-9,-37,-1,-29,3,1,1
"4465",215,"no","yes","b13","2",15,-9,-33,1,-19,3,1,0
"4466",215,"no","yes","b13","2",16,-11,-31,13,-16,3,1,0
"4467",215,"no","yes","b13","2",17,5,-29,5,-22,3,0,0
"4468",215,"no","yes","b13","2",18,-3,-26,-1,-23,3,1,0
"4469",215,"no","yes","b13","2",19,6,-37,-9,-22,3,0,0
"4470",215,"no","yes","b13","2",20,0,-24,-2,-20,3,0,0
"4471",215,"no","yes","b13","2",21,1,-39,-6,-18,3,0,0
"4472",215,"no","yes","b13","2",22,-1,-38,-17,-6,4,0,1
"4473",215,"no","yes","b13","2",23,-3,-38,-16,-9,2,0,1
"4474",215,"no","yes","b13","2",24,-2,-33,-11,0,1,0,1
"4475",215,"no","yes","b13","2",25,-5,-26,-19,6,1,0,0
"4476",215,"no","yes","b13","2",26,-3,-34,-26,5,3,0,1
"4477",215,"no","yes","b13","2",27,10,-29,-31,-9,4,0,1
"4478",215,"no","yes","b13","2",28,16,-26,-29,-11,1,1,1
"4479",215,"no","yes","b13","2",29,15,-21,-19,-9,1,1,0
